mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_10.2292,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1586,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.1586,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2621,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.733,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.732,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.730,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.730,GO:0004180,carboxypeptidase activity,73,6,1.22,0.03014,Molecular Functions,0.08219178082,February
evm.TU.chromosome_10.736,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.736,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.19,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2987,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1989,GO:0005200,structural constituent of cytoskeleton,79,6,1.32,0.00206,Molecular Functions,0.07594936709,February
evm.TU.chromosome_10.1056_evm.TU.chromosome_10.1057,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1056_evm.TU.chromosome_10.1057,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.830,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.830,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.830,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.833,GO:0008237,metallopeptidase activity,449,16,7.49,0.01388,Molecular Functions,0.03563474388,February
evm.TU.chromosome_10.833,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2904,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1745,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.672,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.678,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.678,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2719,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2719,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.1539,GO:0015485,cholesterol binding,34,3,0.57,0.01879,Molecular Functions,0.08823529412,February
evm.TU.chromosome_10.421,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.421,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.151,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.150,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1931,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1931,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1931,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1933,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1933,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1933,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1933,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.2351,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.2352,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2354,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.292,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.293,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.1444,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2174,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2174,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2173,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2173,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2033,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2033,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.1673,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.48,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.48,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.49,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.49,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2729,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2729,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2727,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2727,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.863,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.863,GO:0004180,carboxypeptidase activity,73,6,1.22,0.03014,Molecular Functions,0.08219178082,February
evm.TU.chromosome_10.862,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.455,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.450,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1014,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.1847,GO:0004601,peroxidase activity,81,5,1.35,0.02422,Molecular Functions,0.06172839506,February
evm.TU.chromosome_10.2378,GO:0046933,"proton-transporting ATP synthase activity, rotation...",5,2,0.08,0.00268,Molecular Functions,0.4,February
evm.TU.chromosome_10.2378,GO:0046933,"proton-transporting ATP synthase activity, rotation...",5,2,0.08,0.00268,Molecular Functions,0.4,February
evm.TU.chromosome_10.624,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.624,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.627,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.627,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.627,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.623,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.623,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.622.1.5f15dd66,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.622.1.5f15dd66,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.622,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.622,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2523,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2523,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2521,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2521,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2649,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2642,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2643,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2640,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2646,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2647,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2645,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.3067,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.3067,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.3067,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1687,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1687,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1686,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1686,GO:0005152,interleukin-1 receptor antagonist activity,11,2,0.18,0.01382,Molecular Functions,0.1818181818,February
evm.TU.chromosome_10.1686,GO:0004601,peroxidase activity,81,5,1.35,0.02422,Molecular Functions,0.06172839506,February
evm.TU.chromosome_10.1686,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1686,GO:0004601,peroxidase activity,81,5,1.35,0.02422,Molecular Functions,0.06172839506,February
evm.TU.chromosome_10.1685,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1685,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1685,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1685,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1351,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1353,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1111,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1118,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.3234,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.3234,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.915,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2148,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2148,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.1606,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.719,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.3102,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.3102,GO:0042043,neurexin family protein binding,19,2,0.32,0.03937,Molecular Functions,0.1052631579,February
evm.TU.chromosome_10.1413,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1413,GO:0002020,protease binding,123,6,2.05,0.0172,Molecular Functions,0.0487804878,February
evm.TU.chromosome_10.1413,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.325,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.327.1.5f15dca4,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.818,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.818,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.816,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.816,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.817,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.814,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.814,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.815,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.815,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.813,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.813,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.810,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.810,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.811,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.811,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.138,GO:0001716,L-amino-acid oxidase activity,4,2,0.07,0.00163,Molecular Functions,0.5,February
evm.TU.chromosome_10.1816,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1816,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1814,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1814,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1815,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1815,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2924,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2924,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.9.1.5f15dc03,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.9,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.403,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.403,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.3036,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.3036,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.3038,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.1303,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.173,GO:0005518,collagen binding,79,4,1.32,0.04312,Molecular Functions,0.05063291139,February
evm.TU.chromosome_10.2306,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2306,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.3209,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.3209,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.2806,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2806,GO:0004180,carboxypeptidase activity,73,6,1.22,0.03014,Molecular Functions,0.08219178082,February
evm.TU.chromosome_10.2635,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.723,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.727,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.2385,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.2384,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1148,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1148,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.1148,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1997,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1997,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1995,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1995,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1998,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1998,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.573,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.575,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.1302,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1302,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.67,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.67,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.642,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2978,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.2425,GO:0005201,extracellular matrix structural constituent,339,26,5.66,3.40E-10,Molecular Functions,0.07669616519,February
evm.TU.chromosome_10.2425,GO:0004601,peroxidase activity,81,5,1.35,0.02422,Molecular Functions,0.06172839506,February
evm.TU.chromosome_10.2836,GO:0005200,structural constituent of cytoskeleton,79,6,1.32,0.00206,Molecular Functions,0.07594936709,February
evm.TU.chromosome_10.2787,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.2787,GO:0003735,structural constituent of ribosome,168,7,2.8,0.02288,Molecular Functions,0.04166666667,February
evm.TU.chromosome_10.3042,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.3040,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_10.3044,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.3044,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.3044,GO:0004252,serine-type endopeptidase activity,302,14,5.04,0.00058,Molecular Functions,0.04635761589,February
evm.TU.chromosome_10.1662,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1662,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_10.1084,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.3101,GO:0008239,dipeptidyl-peptidase activity,16,3,0.27,0.00219,Molecular Functions,0.1875,February
evm.TU.chromosome_11.3101,GO:0008239,dipeptidyl-peptidase activity,16,3,0.27,0.00219,Molecular Functions,0.1875,February
evm.TU.chromosome_11.1331,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1331,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1331.1.5f15deea,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1331.1.5f15deea,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1332,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.9,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_11.1225,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1222,GO:0046982,protein heterodimerization activity,465,16,7.76,0.00523,Molecular Functions,0.03440860215,February
evm.TU.chromosome_11.1223,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1223,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.640,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.640,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1750,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1751,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.1751,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.2580,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.3026.1.5f15e1df,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.3026.1.5f15e1df,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
evm.TU.chromosome_11.3026.2.5f15e1df,GO:0005509,calcium ion binding,1711,38,28.55,0.04229,Molecular Functions,0.02220923437,February
