miRNA,mRNA,PCC.cor,p_value,adjusted_p_value,score,energy,query_start_end,subject_start_end,total_bp_shared,query_similar,subject_similar,Swiss.Prot_Hit,SP_E.value,Swiss.Prot_Description,Trembl_Hit,TB_E.value,Trembl_Description,NCBI_hit,nr_E.value,NCBI_Description,GO_Swiss.Prot,GO_Trembl
Cluster_3338,evm.TU.chromosome_4.1848,-0.6571810488,0.002233278206,0.2129068347,171,-23.77,2 20,864 885,18,83.33%,83.33%,sp|Q8IW41|MAPK5_HUMAN,1.51E-147,MAP kinase-activated protein kinase 5 OS=Homo sapiens GN=MAPKAPK5 PE=1 SV=2,tr|A0A2B4S5P5|A0A2B4S5P5_STYPI,0,MAP kinase-activated protein kinase 5 OS=Stylophora pistillata GN=Mapkapk5 PE=4 SV=1,ref|XP_020609083.1|,0,MAP kinase-activated protein kinase 5-like isoform X2 [Orbicella faveolata],GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0005524; GO:0009931; GO:0005516; GO:0004683; GO:0004708; GO:0051019; GO:0002039; GO:0004674; GO:0007166; GO:0032007; GO:0018105; GO:0051973; GO:1904355; GO:0032212; GO:0046777; GO:0007265; GO:1901796; GO:0006417; GO:0007165; GO:0090400,GO:0005524; GO:0004672
Cluster_1452,evm.TU.chromosome_12.4122,0.5128816479,0.02473272195,0.472183573,153,-20.21,2 21,870 895,23,69.57%,78.26%,sp|Q5R733|CPEB1_PONAB,5.13E-133,Cytoplasmic polyadenylation element-binding protein 1 OS=Pongo abelii GN=CPEB1 PE=2 SV=1,tr|A0A2B4S1J9|A0A2B4S1J9_STYPI,0,Cytoplasmic polyadenylation element-binding protein 1 OS=Stylophora pistillata GN=CPEB1 PE=4 SV=1,ref|XP_020619538.1|,0,cytoplasmic polyadenylation element-binding protein 1-like [Orbicella faveolata],GO:0030054; GO:0005737; GO:0030425; GO:0005634; GO:0000932; GO:0014069; GO:0045211; GO:0046872; GO:0035925; GO:0000900; GO:0071230; GO:0071456; GO:0032869; GO:0006397; GO:2000766,GO:0003730; GO:0045182
Cluster_492,evm.TU.chromosome_6.931,0.2320901649,0.3390114428,0.8502401888,159,-20.57,2 19,885 904,17,76.47%,88.24%,sp|Q2T9I5|RBM26_XENLA,2.35E-33,RNA-binding protein 26 OS=Xenopus laevis GN=rbm26 PE=2 SV=2,tr|A0A2B4SZ28|A0A2B4SZ28_STYPI,0,RNA-binding protein 26 OS=Stylophora pistillata GN=Rbm26 PE=4 SV=1,ref|XP_020610142.1|,0,RNA-binding protein 26-like [Orbicella faveolata],GO:0046872; GO:0003723; GO:0006397; GO:0010923,GO:0046872; GO:0003723; GO:0006397
Cluster_4640,evm.TU.chromosome_1.1716,0.1627633468,0.5055609535,0.9039127854,168,-26.84,2 21,145 164,19,84.21%,89.47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_998,evm.TU.chromosome_1.1713,0.05749079112,0.8151584771,0.972379339,152,-22.85,2 13,927 947,11,90.91%,90.91%,sp|Q5EAB6|PMGT1_BOVIN,0,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Bos taurus GN=POMGNT1 PE=2 SV=1",tr|A0A2B4SKI2|A0A2B4SKI2_STYPI,0,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Stylophora pistillata GN=POMGNT1 PE=4 SV=1",ref|XP_022785178.1|,0,"protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1-like [Stylophora pistillata]",GO:0000139; GO:0016021; GO:0008375; GO:0006493,GO:0008375; GO:0006486
Cluster_860,evm.TU.chromosome_12.1578,-0.403529246,0.08666330931,0.6550479451,171,-20.24,2 21,937 959,20,80.00%,85.00%,sp|Q5BIM1|TRI45_BOVIN,8.83E-20,Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1,tr|A0A2B4S6C0|A0A2B4S6C0_STYPI,0,Tripartite motif-containing protein 45 OS=Stylophora pistillata GN=Trim45 PE=4 SV=1,ref|XP_020610971.1|,0,tripartite motif-containing protein 45-like [Orbicella faveolata],GO:0005829; GO:0045171; GO:0005654; GO:0008270; GO:0060348,GO:0005622; GO:0008270
Cluster_1453,evm.TU.chromosome_12.1572,-0.145960421,0.5510138734,0.9163023904,161,-21.39,2 19,727 749,18,77.78%,83.33%,sp|P62308|RUXG_HUMAN,2.89E-38,Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1,tr|A0A2B4S6A4|A0A2B4S6A4_STYPI,1.99E-46,Putative small nuclear ribonucleoprotein G OS=Stylophora pistillata GN=SmG PE=4 SV=1,ref|XP_020611063.1|,3.44E-48,small nuclear ribonucleoprotein G-like [Orbicella faveolata],GO:0071013; GO:0005829; GO:0034709; GO:0005654; GO:0043186; GO:0071011; GO:0030532; GO:0034719; GO:0005681; GO:0097526; GO:0005685; GO:0005689; GO:0005686; GO:0071004; GO:0005687; GO:0005682; GO:0005683; GO:0003723; GO:0008334; GO:0000398; GO:0051170; GO:0008380; GO:0000245; GO:0000387; GO:0006369,GO:0005681; GO:0019013; GO:0000387
Cluster_30,evm.TU.chromosome_12.1574,-0.1899267968,0.4360991151,0.883795204,164,-20.35,2 20,622 641,18,83.33%,83.33%,sp|Q5E9S2|NFYA_BOVIN,2.58E-29,Nuclear transcription factor Y subunit alpha OS=Bos taurus GN=NFYA PE=2 SV=1,tr|A0A2B4S746|A0A2B4S746_STYPI,3.89E-153,Nuclear transcription factor Y subunit alpha OS=Stylophora pistillata GN=NFYA PE=4 SV=1,ref|XP_020611418.1|,6.97E-155,nuclear transcription factor Y subunit alpha-like [Orbicella faveolata],GO:0016602; GO:0005654; GO:0005634; GO:0032993; GO:0001046; GO:0003677; GO:0003700; GO:0000980; GO:0045893; GO:0006355; GO:0048511; GO:0006351,GO:0016602; GO:0003677; GO:0003700
Cluster_3044,evm.TU.chromosome_12.2000,-0.4194221928,0.07384279278,0.6312838754,167,-22.66,2 21,682 704,20,75.00%,85.00%,sp|P16157|ANK1_HUMAN,4.36E-82,Ankyrin-1 OS=Homo sapiens GN=ANK1 PE=1 SV=3,tr|A0A2B4SFI6|A0A2B4SFI6_STYPI,0,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Stylophora pistillata GN=Ankrd44 PE=4 SV=1,ref|XP_020611997.1|,0,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like [Orbicella faveolata],GO:0030673; GO:0016323; GO:0005856; GO:0005829; GO:0031430; GO:0005634; GO:0005886; GO:0045211; GO:0042383; GO:0016529; GO:0014731; GO:0030018; GO:0051117; GO:0008093; GO:0019899; GO:0030507; GO:0005200; GO:0005198; GO:0007010; GO:0006888; GO:0006887; GO:0045199; GO:0010638; GO:0072659; GO:0007165,
Cluster_3331,evm.TU.chromosome_7.1449,-0.03342640276,0.8919414892,0.9850866242,159,-25.73,2 21,226 248,20,75.00%,75.00%,sp|Q8HW98|IGLO5_MOUSE,1.55E-15,IgLON family member 5 OS=Mus musculus GN=Iglon5 PE=2 SV=2,tr|A0A2B4REJ5|A0A2B4REJ5_STYPI,4.80E-91,Hemicentin-2 OS=Stylophora pistillata GN=HMCN2 PE=4 SV=1,gb|PFX15229.1|,7.44E-91,Hemicentin-2 [Stylophora pistillata],GO:0005576,
Cluster_3337,evm.TU.chromosome_7.1449,0.05082901544,0.8362832232,0.9760644808,159,-25.73,2 21,226 248,20,75.00%,75.00%,sp|Q8HW98|IGLO5_MOUSE,1.55E-15,IgLON family member 5 OS=Mus musculus GN=Iglon5 PE=2 SV=2,tr|A0A2B4REJ5|A0A2B4REJ5_STYPI,4.80E-91,Hemicentin-2 OS=Stylophora pistillata GN=HMCN2 PE=4 SV=1,gb|PFX15229.1|,7.44E-91,Hemicentin-2 [Stylophora pistillata],GO:0005576,
Cluster_3338,evm.TU.chromosome_7.1449,0.06630942384,0.7873832088,0.9675757068,159,-25.73,2 21,226 248,20,75.00%,75.00%,sp|Q8HW98|IGLO5_MOUSE,1.55E-15,IgLON family member 5 OS=Mus musculus GN=Iglon5 PE=2 SV=2,tr|A0A2B4REJ5|A0A2B4REJ5_STYPI,4.80E-91,Hemicentin-2 OS=Stylophora pistillata GN=HMCN2 PE=4 SV=1,gb|PFX15229.1|,7.44E-91,Hemicentin-2 [Stylophora pistillata],GO:0005576,
Cluster_5061,evm.TU.chromosome_10.1368,-0.08344684514,0.7341308316,0.9576379305,155,-20.26,2 21,719 741,20,65.00%,80.00%,sp|Q19673|TYR3_CAEEL,4.70E-11,Putative tyrosinase-like protein tyr-3 OS=Caenorhabditis elegans GN=tyr-3 PE=3 SV=5,tr|A0A0L8FN55|A0A0L8FN55_OCTBM,5.47E-26,Metalloendopeptidase OS=Octopus bimaculoides GN=OCBIM_22013537mg PE=3 SV=1,ref|XP_014773035.1|,7.95E-30,PREDICTED: uncharacterized protein LOC106871202 [Octopus bimaculoides],GO:0005507; GO:0016716; GO:0042438,GO:0004222; GO:0008270
Cluster_508,evm.TU.chromosome_6.1366,-0.1260391757,0.6071452723,0.9303445988,154,-23.17,2 21,499 525,24,66.67%,75.00%,sp|Q61830|MRC1_MOUSE,1.18E-12,Macrophage mannose receptor 1 OS=Mus musculus GN=Mrc1 PE=1 SV=2,tr|A0A2B4RKW9|A0A2B4RKW9_STYPI,2.02E-44,Ectonucleoside triphosphate diphosphohydrolase 1 OS=Stylophora pistillata GN=ENTPD1 PE=4 SV=1,ref|XP_022782421.1|,1.99E-64,lithostathine-1-alpha-like [Stylophora pistillata],GO:0009986; GO:0010008; GO:0005887; GO:0005886; GO:0005537; GO:0004872; GO:0004888; GO:0071346; GO:0071353; GO:0071222; GO:0006898,GO:0016021; GO:0016787
Cluster_2003,evm.TU.chromosome_6.1367,-0.634886839,0.003496260571,0.2499166845,145,-22.03,2 10,220 241,8,100.00%,100.00%,sp|O15439|MRP4_HUMAN,1.53E-170,Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3,tr|A7SD35|A7SD35_NEMVE,0,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g20166 PE=4 SV=1,ref|XP_022806581.1|,0,multidrug resistance-associated protein 4-like [Stylophora pistillata],GO:0016323; GO:0005887; GO:0016020; GO:0005886; GO:0031088; GO:0016404; GO:0005524; GO:0015662; GO:0042626; GO:0043225; GO:0060271; GO:0002576; GO:0048661; GO:0032310; GO:0042493; GO:0014070; GO:0010243; GO:0055085,GO:0005887; GO:0005524; GO:0042626; GO:0055085
Cluster_4425,evm.TU.chromosome_11.287,-0.1915833968,0.4320321828,0.8824486411,169,-21.1,2 21,3 24,20,85.00%,85.00%,NA,NA,NA,tr|A0A2B4SF01|A0A2B4SF01_STYPI,1.15E-49,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene7618 PE=4 SV=1,ref|XP_022787161.1|,9.46E-178,uncharacterized protein LOC111327283 [Stylophora pistillata],NA,
Cluster_4425,evm.TU.chromosome_13.3939,-0.1782736743,0.4652661735,0.8923712701,168,-22.73,2 21,289 310,19,73.68%,84.21%,NA,NA,NA,tr|A0A2B4S695|A0A2B4S695_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene10493 PE=4 SV=1,ref|XP_020618510.1|,0,"uncharacterized protein LOC110056382, partial [Orbicella faveolata]",NA,
Cluster_4646,evm.TU.chromosome_5.668,-0.01575881194,0.9489453393,0.9932351076,158,-20.31,2 19,505 524,17,82.35%,88.24%,sp|Q01528|HAAF_LIMPO,2.06E-25,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1,tr|K1RR40|K1RR40_CRAGI,1.89E-53,Hemagglutinin/amebocyte aggregation factor OS=Crassostrea gigas GN=CGI_10027083 PE=4 SV=1,ref|XP_020632940.1|,9.14E-102,hemagglutinin/amebocyte aggregation factor-like [Orbicella faveolata],GO:0005576,
Cluster_1452,evm.TU.chromosome_5.667,-0.1158111052,0.6368325576,0.9372188085,168,-22.69,2 21,963 984,19,73.68%,84.21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_1473,evm.TU.chromosome_5.667,0.1925711351,0.4296168331,0.8818001338,166,-21.93,2 19,832 853,17,82.35%,82.35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cluster_1663,evm.TU.chromosome_5.1392,0.09918218466,0.6862321366,0.9477715467,152,-20.12,2 21,153 174,19,68.42%,68.42%,NA,NA,NA,tr|A0A2B4SQG0|A0A2B4SQG0_STYPI,2.50E-96,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene25760 PE=4 SV=1,gb|PFX30625.1|,3.87E-96,hypothetical protein AWC38_SpisGene25760 [Stylophora pistillata],NA,
Cluster_4646,evm.TU.chromosome_11.1103,0.3912814038,0.09760333251,0.6725704601,172,-21.6,2 21,705 726,19,68.42%,94.74%,sp|Q95SX7|RTBS_DROME,1.58E-13,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1,tr|A0A2B4R7T1|A0A2B4R7T1_STYPI,1.21E-148,Putative RNA-directed DNA polymerase from transposon X-element OS=Stylophora pistillata GN=AWC38_SpisGene23081 PE=4 SV=1,ref|XP_015780813.1|,1.24E-165,PREDICTED: uncharacterized protein LOC107358739 [Acropora digitifera],GO:0003964; GO:0006313,GO:0003964
Cluster_1192,evm.TU.chromosome_14.1506,0.1354848297,0.5802411526,0.9238844079,163,-22.08,2 18,958 978,16,87.50%,87.50%,sp|O02776|PARG_BOVIN,1.84E-107,Poly(ADP-ribose) glycohydrolase OS=Bos taurus GN=PARG PE=1 SV=1,tr|A0A2B4STX0|A0A2B4STX0_STYPI,5.96E-175,Poly(ADP-ribose) glycohydrolase OS=Stylophora pistillata GN=PARG PE=4 SV=1,gb|PFX34124.1|,9.24E-175,Poly(ADP-ribose) glycohydrolase [Stylophora pistillata],GO:0005634; GO:0004649; GO:1990966; GO:0005975,GO:0004649; GO:0005975
Cluster_492,evm.TU.chromosome_14.1508,0.1789642376,0.4635107953,0.8918207964,166,-20.66,2 21,45 65,19,73.68%,89.47%,sp|O02776|PARG_BOVIN,1.48E-26,Poly(ADP-ribose) glycohydrolase OS=Bos taurus GN=PARG PE=1 SV=1,tr|A0A2B4STX0|A0A2B4STX0_STYPI,7.54E-100,Poly(ADP-ribose) glycohydrolase OS=Stylophora pistillata GN=PARG PE=4 SV=1,ref|XP_022790321.1|,5.41E-111,poly(ADP-ribose) glycohydrolase-like [Stylophora pistillata],GO:0005634; GO:0004649; GO:1990966; GO:0005975,GO:0004649; GO:0005975
Cluster_1453,evm.TU.chromosome_10.2456,0.01563299828,0.9493524446,0.9933078249,154,-20.87,2 18,478 500,18,77.78%,83.33%,sp|Q5VTT2|CI135_HUMAN,1.23E-47,Protein C9orf135 OS=Homo sapiens GN=C9orf135 PE=1 SV=1,tr|A0A2B4SJW7|A0A2B4SJW7_STYPI,9.94E-144,Uncharacterized protein C9orf135-like OS=Stylophora pistillata GN=AWC38_SpisGene6536 PE=4 SV=1,ref|XP_020624091.1|,1.42E-155,uncharacterized protein C9orf135-like [Orbicella faveolata],GO:0005737; GO:0016021; GO:0005886,
Cluster_1453,evm.TU.chromosome_10.2455,0.1832913595,0.4525882127,0.8887215599,154,-20.87,2 18,627 649,18,77.78%,83.33%,NA,NA,NA,NA,NA,NA,gb|KXJ25829.1|,7.85E-17,uncharacterized protein LOC110243439 [Exaiptasia pallida],NA,NA
Cluster_1453,evm.TU.chromosome_7.861,-0.1339964087,0.5844467597,0.9250475197,153,-20.13,2 20,347 367,18,72.22%,77.78%,sp|P35546|RET_MOUSE,8.51E-56,Proto-oncogene tyrosine-protein kinase receptor Ret OS=Mus musculus GN=Ret PE=1 SV=2,tr|A0A2B4RPH8|A0A2B4RPH8_STYPI,1.09E-149,Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1,ref|XP_020605234.1|,0,hemicentin-1-like [Orbicella faveolata],GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004714; GO:0006919; GO:0009653; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0000165; GO:0033619; GO:0007399; GO:0001755; GO:0007158; GO:0030182; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0010628; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007169; GO:0035799; GO:0001657,GO:0016021; GO:0005524; GO:0004713
Cluster_4831,evm.TU.chromosome_7.861,-0.1530623281,0.531582208,0.9110019722,172,-21.52,2 17,132 153,15,93.33%,93.33%,sp|P35546|RET_MOUSE,8.51E-56,Proto-oncogene tyrosine-protein kinase receptor Ret OS=Mus musculus GN=Ret PE=1 SV=2,tr|A0A2B4RPH8|A0A2B4RPH8_STYPI,1.09E-149,Proto-oncogene tyrosine-protein kinase receptor Ret OS=Stylophora pistillata GN=Ret PE=4 SV=1,ref|XP_020605234.1|,0,hemicentin-1-like [Orbicella faveolata],GO:0030424; GO:0005829; GO:0030425; GO:0005769; GO:0010008; GO:0005887; GO:0043231; GO:0045121; GO:0043025; GO:0005886; GO:0098797; GO:0043235; GO:0005524; GO:0005509; GO:0004714; GO:0006919; GO:0009653; GO:0071300; GO:0001838; GO:0048484; GO:0007156; GO:0060384; GO:0000165; GO:0033619; GO:0007399; GO:0001755; GO:0007158; GO:0030182; GO:0042551; GO:0061146; GO:0033630; GO:0030335; GO:0045793; GO:2001241; GO:0010628; GO:0072300; GO:0014042; GO:0010976; GO:0033141; GO:0045893; GO:0050770; GO:0030155; GO:0042493; GO:0048265; GO:0060041; GO:0007169; GO:0035799; GO:0001657,GO:0016021; GO:0005524; GO:0004713
Cluster_492,evm.TU.chromosome_14.3614,-0.3623003042,0.1274204249,0.7115990989,167,-22.41,2 21,317 339,20,75.00%,85.00%,NA,NA,NA,tr|A0A1S3JNV2|A0A1S3JNV2_LINUN,7.38E-26,uncharacterized protein LOC106174705 OS=Lingula unguis GN=LOC106174705 PE=4 SV=1,ref|XP_015774664.1|,2.36E-34,PREDICTED: uncharacterized protein LOC107352859 [Acropora digitifera],NA,
Cluster_1453,evm.TU.chromosome_6.2577,0.2154402387,0.3757272383,0.86412118,157,-21.02,2 20,618 641,20,75.00%,80.00%,sp|Q96P48|ARAP1_HUMAN,7.64E-42,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3",tr|T2M7I9|T2M7I9_HYDVU,2.46E-90,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Hydra vulgaris GN=ARAP1 PE=2 SV=1",ref|XP_020604126.1|,0,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1-like isoform X1 [Orbicella faveolata]",GO:0031410; GO:0005829; GO:0005794; GO:0032580; GO:0043231; GO:0005654; GO:0005886; GO:0005802; GO:0005096; GO:0046872; GO:0005547; GO:0031702; GO:0030037; GO:0051497; GO:0045742; GO:0051491; GO:0043547; GO:0001921; GO:0008360; GO:0051270; GO:0051056; GO:0007165,GO:0007165
Cluster_1473,evm.TU.chromosome_8.858,-0.1768421961,0.4689155854,0.8934572034,166,-20.81,2 20,258 281,20,80.00%,80.00%,NA,NA,NA,tr|A0A2B4RX90|A0A2B4RX90_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene13730 PE=4 SV=1,gb|PFX21776.1|,0,hypothetical protein AWC38_SpisGene13730 [Stylophora pistillata],NA,
Cluster_3889,evm.TU.chromosome_8.858,0.1176078778,0.6315772012,0.9360102522,158,-21.14,2 20,153 174,19,73.68%,78.95%,NA,NA,NA,tr|A0A2B4RX90|A0A2B4RX90_STYPI,0,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene13730 PE=4 SV=1,gb|PFX21776.1|,0,hypothetical protein AWC38_SpisGene13730 [Stylophora pistillata],NA,
Cluster_3044,evm.TU.chromosome_14.5618,0.328760867,0.1693454432,0.7536364065,156,-20.87,2 21,828 848,20,70.00%,85.00%,sp|Q89TD1|ECTC_BRADU,5.25E-17,L-ectoine synthase OS=Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110) GN=ectC PE=3 SV=1,tr|A0A2B4SYL4|A0A2B4SYL4_STYPI,8.42E-55,Collagen triple helix repeat-containing protein 1 OS=Stylophora pistillata GN=Cthrc1 PE=4 SV=1,ref|XP_020631243.1|,7.31E-70,uncharacterized protein LOC110068205 [Orbicella faveolata],GO:0033990; GO:0019491,GO:0005581; GO:0016021; GO:0033990; GO:0004930; GO:0019491
Cluster_1452,evm.TU.chromosome_14.5613,0.3047145456,0.2046279131,0.7798748599,170,-23.04,2 21,508 528,19,84.21%,84.21%,sp|Q09694|LYS1_SCHPO,3.07E-126,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming] OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=lys3 PE=1 SV=2",tr|A0A2B4SWE5|A0A2B4SWE5_STYPI,7.58E-168,"Saccharopine dehydrogenase [NAD(+), L-lysine-forming] OS=Stylophora pistillata GN=lys3 PE=4 SV=1",ref|XP_020631237.1|,0,"saccharopine dehydrogenase [NAD(+), L-lysine-forming]-like [Orbicella faveolata]",GO:0005737; GO:0004754; GO:0004753; GO:0006091; GO:0009085; GO:0019878,GO:0004754; GO:0009085
Cluster_3044,evm.TU.chromosome_14.5617,-0.06795823214,0.7822162177,0.9667683967,168,-22.26,2 21,63 84,19,73.68%,84.21%,sp|P97292|HRH2_MOUSE,2.02E-31,Histamine H2 receptor OS=Mus musculus GN=Hrh2 PE=2 SV=2,tr|A0A2B4SYL4|A0A2B4SYL4_STYPI,2.44E-170,Collagen triple helix repeat-containing protein 1 OS=Stylophora pistillata GN=Cthrc1 PE=4 SV=1,ref|XP_020631268.1|,0,histamine H2 receptor-like [Orbicella faveolata],GO:0016021; GO:0005886; GO:0004969; GO:0048565; GO:0003382; GO:0001696; GO:0001698; GO:0048732; GO:0001697; GO:0006955; GO:0007613; GO:0045907; GO:0048167; GO:1901998; GO:0008542,GO:0005581; GO:0016021; GO:0033990; GO:0004930; GO:0019491
Cluster_4831,evm.TU.chromosome_7.2556,-0.2800096056,0.2456076348,0.8051026106,149,-20.39,2 20,751 771,18,66.67%,77.78%,NA,NA,NA,tr|A0A2B4S847|A0A2B4S847_STYPI,3.69E-99,Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8505 PE=4 SV=1,gb|PFX26834.1|,5.72E-99,UAP56-interacting factor-like [Stylophora pistillata],NA,
Cluster_1453,evm.TU.chromosome_7.2720,0.6061925203,0.005936094081,0.299997344,168,-22.55,2 21,38 59,19,73.68%,84.21%,sp|Q9DGJ3|NPC2_DANRE,4.40E-22,Epididymal secretory protein E1 OS=Danio rerio GN=npc2 PE=2 SV=1,tr|A7SZV1|A7SZV1_NEMVE,3.98E-31,Predicted protein OS=Nematostella vectensis GN=v1g139511 PE=4 SV=1,ref|XP_020614754.1|,2.24E-51,epididymal secretory protein E1-like [Orbicella faveolata],GO:0005783; GO:0005576; GO:0008203; GO:0032367,GO:0005622; GO:0032367
Cluster_1453,evm.TU.chromosome_7.2723,0.3807924644,0.1077409463,0.6865273164,168,-22.55,2 21,512 533,19,73.68%,84.21%,sp|Q25188|OAR_HELVI,6.72E-18,Octopamine receptor OS=Heliothis virescens PE=2 SV=1,tr|A7SSU5|A7SSU5_NEMVE,1.30E-21,Predicted protein OS=Nematostella vectensis GN=v1g216921 PE=3 SV=1,ref|XP_020614737.1|,1.44E-73,"rhodopsin, GQ-coupled-like [Orbicella faveolata]",GO:0016021; GO:0005886; GO:0004989,GO:0016021; GO:0004930
Cluster_4044,evm.TU.chromosome_10.3151,-0.02503309152,0.918975584,0.9890048838,171,-21.14,2 21,945 967,20,80.00%,85.00%,sp|Q5XIN9|CCD81_RAT,2.23E-80,Coiled-coil domain-containing protein 81 OS=Rattus norvegicus GN=Ccdc81 PE=1 SV=1,tr|A7SC01|A7SC01_NEMVE,0,Predicted protein OS=Nematostella vectensis GN=v1g168814 PE=4 SV=1,ref|XP_020622851.1|,0,coiled-coil domain-containing protein 81-like [Orbicella faveolata],GO:0005813; GO:0005737; GO:0003677,GO:0005813; GO:0003677
Cluster_1452,evm.TU.chromosome_3.298,-0.5051623282,0.02737281983,0.4855988723,159,-20.06,2 21,607 629,20,65.00%,85.00%,sp|Q9PVW8|SAL_SILAS,9.47E-36,Rhamnose-binding lectin OS=Silurus asotus PE=1 SV=1,tr|A0A2B4SLP0|A0A2B4SLP0_STYPI,1.81E-67,L-rhamnose-binding lectin CSL3 OS=Stylophora pistillata GN=AWC38_SpisGene4400 PE=4 SV=1,ref|XP_020611809.1|,4.86E-84,rhamnose-binding lectin-like isoform X3 [Orbicella faveolata],GO:0005576; GO:0030246,GO:0030246
Cluster_9000,evm.TU.chromosome_11.1346,0.07579953303,0.7577660551,0.9621942248,159,-22.14,2 21,933 959,24,66.67%,75.00%,sp|Q8NBN7|RDH13_HUMAN,3.80E-114,Retinol dehydrogenase 13 OS=Homo sapiens GN=RDH13 PE=1 SV=2,tr|A0A2B4RA72|A0A2B4RA72_STYPI,0,Retinol dehydrogenase 13 OS=Stylophora pistillata GN=RDH13 PE=4 SV=1,ref|XP_020619101.1|,0,retinol dehydrogenase 13-like [Orbicella faveolata],GO:0005743; GO:0052650; GO:0042462; GO:0009644; GO:0010842,
Cluster_4044,evm.TU.chromosome_11.1348,-0.02512285259,0.9186859694,0.9889732064,176,-25.49,2 21,421 442,19,78.95%,89.47%,NA,NA,NA,tr|H3A5Y9|H3A5Y9_LATCH,2.25E-33,Uncharacterized protein OS=Latimeria chalumnae PE=4 SV=1,gb|KXJ11375.1|,6.01E-46,putative RNA-directed DNA polymerase from transposon BS [Exaiptasia pallida],NA,GO:0016021
Cluster_137,evm.TU.chromosome_10.2289,-0.01406374331,0.9544311865,0.9940595031,145,-20.59,2 20,777 803,23,65.22%,69.57%,sp|P05099|MATN1_CHICK,5.89E-20,Cartilage matrix protein OS=Gallus gallus GN=MATN1 PE=1 SV=2,tr|A0A2B4SY05|A0A2B4SY05_STYPI,0,Matrilin-4 OS=Stylophora pistillata GN=Matn4 PE=4 SV=1,ref|XP_020622039.1|,0,coadhesin-like [Orbicella faveolata],GO:0005578; GO:0005509; GO:0005201,GO:0005578; GO:0005201
Cluster_4640,evm.TU.chromosome_9.1621,0.5103159277,0.02558699962,0.4768885724,163,-22.27,2 18,570 590,16,81.25%,93.75%,sp|Q8R344|CCD12_MOUSE,2.15E-50,Coiled-coil domain-containing protein 12 OS=Mus musculus GN=Ccdc12 PE=1 SV=2,tr|A7RGG1|A7RGG1_NEMVE,5.12E-55,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g238072 PE=4 SV=1,ref|XP_020612751.1|,6.61E-96,coiled-coil domain-containing protein 12-like [Orbicella faveolata],GO:0005737; GO:0004814; GO:0005524; GO:0006420,
